,qualifications
0,"• 클라우드 환경에서의 프로젝트 경험 보유 (토이 프로젝트 포함)
• Generative AI(생성형 AI) 서비스와 관련된 기본 지식
• Python 개발 능력 보유
• 원활한 커뮤니케이션 및 문서 작성 능력
• 최신 기술 학습과 실무 적용에 적극적인 분"
1,"[이런분과 함께하고 싶어요]
• 전자, 컴퓨터공학 학사 이상
• C, Python 프로그래밍 능력
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분

자격 요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지 말고 지원해주세요!"
2,"[이런분이라면 더욱 환영해요]
• 전자, 컴퓨터공학 학사 이상
• C/C++ 능숙
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분"
3,"[공통]
• 다양한 데이터 분석 경험
• 협업 및 문제 해결 능력

[검색]
• 검색 시스템 구축 및 운영 경험 (Elastic, 다이퀘스트, 코난, 와이즈넛 등)
• 클라우드 환경(CSP, K8S, OC 등)구축 및 운영 경험

[옵저버빌리티]
• 관제 시스템 구축 및 운영 경험 (Elastic, DataDog, Prometheus 등)
• 다양한 시각화 툴을 통한 대시보드 개발 경험 (Kibana, Tableau, Grafana 등)"
4,"• 컴퓨터 공학, 수학, 통계학, 산업공학 등 머신러닝 유관 분야 석사 이상의 학위 소지자
• 유관 분야 학사 이상의 학위 소지자이면서, 관련 분야에 논문을 발표한 경험이 있으신 분
• 기초 통계, 전통적인 머신러닝, 딥러닝 이론들에 대해 탄탄한 지식을 보유하신 분
• Python에 능숙하시고, Pytorch 또는 Tensorflow 중 하나 이상에 능숙하신 분

• 현재는 리서치에 강점을 가진 분들을 우선하여 채용하고 있습니다. 지원에 참고해 주시면 감사하겠습니다."
5,"* 지원 시 포트폴리오 제출 필수 (연구 자료, 논문 자료 등)
• 딥러닝/머신러닝에 대한 개념적인 이해 및 모델링 경험
• 논문 기반 분석 및 모델링 능력을 보유하신 분
• Python 프로그램 개발 능력
• Tensorflow/PyTorch 등 딥러닝 프레임워크 개발 경험자
• 데이터에 대한 통계학적 이해 및 분석 경험

** 해당 포지션은 전문연구요원 2025년 현역 신규편입은 불가합니다."
6,"컴퓨터과학/데이터사이언스 전공자 또는 AI/ML 관련 전문 지식 보유자
* 신입/전문연구요원은 석사 이상 필수
-Python, Pytorch, Tensorflow, Keras 등 AI 개발 도구 활용 경험
-아래 조건 중 1개 이상 해당하는 분
* Diffusion 기반 generative AI model 을 사용한 서비스를 구축해 보았거나 하실 수 있는 분
* 그 외에 다양한 AI/ML 분야에 3년이상의 경험이 있으신분"
7,"• 컴퓨터 공학, 전산학 또는 관련 분야 석사 이상 학위 소지자
• AI 및 머신러닝 관련 프로젝트 경험
• 문제 해결 능력 및 창의적인 사고"
8,"업무 맥락 파악 및 소통 능력 (예외 상황 발생 시 빠른 대처 및 투명한 소통, 담당 업무의 필요성에 대한 깊은 이해)
업무 완성도에 대한 높은 기준 (마감 시간 및 꼼꼼함)
수학적 사고력 (수식으로 된 코드를 읽고 이해할 수 있는 능력)"
9,"• 공학 석사 이상의 학위를 소지하고 계신 분
• ai 를 활용한 실험 논문을 소지하고 계신 분
• 생성형 AI모델(LLM)을 활용한 응용 프로젝트 수행 경험
• Elasticsearch, LangChain 등 RAG (검색증강생성) 개발, Agent 개발 연구 또는 관련 프로젝트 수행 경험
• 모델 검증을 위한 대규모 데이터셋 처리 및 최적화 경험
• SQL 과 Python 사용이 능숙하신 분"
